sigla_uf,nm_uf,nm_regiao
AC,ACRE,Norte
AL,ALAGOAS,Nordeste
AP,AMAPA,Norte
AM,AMAZONAS,Norte
BA,BAHIA,Nordeste
CE,CEARA,Nordeste
DF,DISTRITO FEDERAL,Centro-Oeste
ES,ESPIRITO SANTO,Sudeste
GO,GOIAS,Centro-Oeste
MA,MARANHAO,Nordeste
MT,MATO GROSSO,Centro-Oeste
MS,MATO GROSSO DO SUL,Centro-Oeste
MG,MINAS GERAIS,Sudeste
PA,PARA,Norte
PB,PARAIBA,Nordeste
PR,PARANA,Sul
PE,PERNAMBUCO,Nordeste
PI,PIAUI,Nordeste
RJ,RIO DE JANEIRO,Sudeste
RN,RIO GRANDE DO NORTE,Nordeste
RS,RIO GRANDE DO SUL,Sul
RO,RONDONIA,Norte
RR,RORAIMA,Norte
SC,SANTA CATARINA,Sul
SP,SAO PAULO,Sudeste
SE,SERGIPE,Nordeste
TO,TOCANTINS,Norte
